SYMBOL,DATE1,PREV_CLOSE,CLOSE_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,DELIV_QTY,DELIV_PER,AVG_DELIV_10D,AVG_TURNOVER_10D,DELIV_SPIKE_X,PCT_CHG,COMPANY_NAME,DELIV_TURNOVER_CR
BPCL,2026-09-18,307.0,314.0,9439555,29485.03,7022774.0,74.4,1800306.1818181819,11270.173636363637,3.9008775678965315,2.2801302931596092,Bharat Petroleum Corporation Limited,219.36862320000003
MSUMI,2026-09-18,36.07,35.67,31085866,11104.04,19338030.0,62.21,4996572.0,3634.597272727273,3.8702594498788367,-1.1089548100914848,Motherson Sumi Wiring India Limited,69.07823284
MAXIND,2026-09-18,140.19,152.69,216930,325.12,120671.0,55.63,31361.18181818182,79.20272727272727,3.847782290208219,8.916470504315571,Max India Limited,1.80864256
EUREKAFORB,2026-09-18,391.1,385.3,438600,1692.28,265429.0,60.52,69241.63636363637,551.9054545454545,3.833372721090043,-1.4829966760419357,Eureka Forbes Limited,10.24167856
COROMANDEL,2026-09-18,1929.8,1999.5,302340,6003.63,206678.0,68.36,54127.36363636364,1804.9672727272728,3.818364430022791,3.611773240750339,Coromandel International Limited,41.040814680000004
BIOCON,2026-09-18,380.0,385.0,7901211,30385.98,6325497.0,80.06,1659347.7272727273,14043.543636363638,3.8120382461345024,1.3157894736842104,Biocon Limited,243.27015587999998
TATACOMM,2026-09-18,1791.6,1780.1,713124,12657.31,439570.0,61.64,117913.54545454546,4153.71,3.7279007963461672,-0.641884349185086,Tata Communications Limited,78.01965884
SCHAEFFLER,2026-09-18,3991.0,4217.6,171857,7160.74,106324.0,61.87,28805.545454545456,1756.0381818181816,3.6910948333811984,5.677774993735915,Schaeffler India Limited,44.30349838
CASTROLIND,2026-09-18,191.72,197.14,9615337,18798.46,5533528.0,57.55,1510881.6363636365,4518.783636363636,3.6624497027563314,2.8270394325057313,Castrol India Limited,108.18513730000001
INFY,2026-09-18,1058.6,1051.4,22124953,231854.51,15755453.0,71.21,4306894.454545454,84594.90272727273,3.6581934306218833,-0.6801435858681106,Infosys Limited,1651.03596571
RUSHIL,2026-09-18,15.57,17.26,1882573,320.72,1135515.0,60.32,311369.63636363635,83.7309090909091,3.646839214193245,10.854206807964042,Rushil Decor Limited,1.93458304
LODHA,2026-09-18,1103.1,1144.7,4727259,53449.97,3082611.0,65.21,859886.0,21853.11727272727,3.584906603898656,3.771190281932748,Lodha Developers Limited,348.54725436999996
LGEINDIA,2026-09-18,1652.9,1696.9,1337344,22632.86,980784.0,73.34,274160.54545454547,6910.733636363637,3.577407530955651,2.661988021053905,LG Electronics India Limited,165.98939524000002
ALIVUS,2026-09-18,1387.8,1430.8,304330,4331.73,195156.0,64.13,54584.72727272727,1516.2563636363636,3.5752857942281557,3.0984291684680794,Alivus Life Sciences Limited,27.779384489999998
