SYMBOL,TOT_DELIV_QTY,TOT_TRD_QTY,TOT_TURNOVER_CR,DAYS_TRADED,LATEST_CLOSE,FIRST_PREV_CLOSE,WEEKLY_DELIV_PER,WEEKLY_PRICE_CHG,PRIOR_DELIV_QTY,PRIOR_TRD_QTY,PRIOR_TURNOVER_CR,WEEKLY_SPIKE_X,COMPANY_NAME
MOTHERSON,46065894.0,75019841,1219.3164,6,162.57,163.2,61.4049475258152,-0.3860294117647031,25030211.0,44838147.0,730.1878999999999,1.84041173284556,Samvardhana Motherson International Limited
ADVANCE,746067.0,1077557,12.157999999999998,6,110.48,119.03,69.23689419678031,-7.183063093337812,405830.0,819249.0,9.681600000000001,1.8383732104575807,Advance Agrolife Limited
BPCL,15628967.0,28661596,875.4534,6,314.0,303.0,54.52929767065309,3.6303630363036308,8518367.0,16563471.0,508.75419999999997,1.8347374561344916,Bharat Petroleum Corporation Limited
NH,803087.0,1417306,266.2555,6,1928.5,1909.7,56.66292247404583,0.9844478190291646,439628.0,985266.0,186.91299999999998,1.8267421547308178,Narayana Hrudayalaya Ltd.
ARSSBL,489075.0,974821,48.052600000000005,6,502.05,502.05,50.17074929653752,0.0,269100.0,551321.0,28.330299999999998,1.8174470457079153,Anand Rathi Share and Stock Brokers Limited
ASIANPAINT,2240599.0,3924063,960.3089,6,2451.3,2498.1,57.09895585264558,-1.8734238020895773,1233802.0,1995124.0,498.00120000000004,1.816011807405078,Asian Paints Limited
UBL,1055010.0,1373691,171.37129999999996,6,1251.5,1256.7,76.80111466115743,-0.4137821277950223,586288.0,1056390.0,134.9091,1.7994739786589526,United Breweries Limited
FORTIS,3663818.0,6610136,586.5882,6,886.0,902.45,55.427271087917106,-1.8228156684580912,2037789.0,3922988.0,356.03,1.7979378630466647,Fortis Healthcare Limited
APTUS,6373658.0,10775674,259.7537,6,237.68,252.2,59.14857854831169,-5.75733544805709,3548669.0,5935337.0,151.7992,1.796070019491815,Aptus Value Housing Finance India Limited
HIMATSEIDE,1615863.0,2869954,18.797900000000002,6,64.66,68.85,56.30274910329574,-6.085693536673926,901681.0,1691569.0,11.8479,1.79205617064128,Himatsingka Seide Limited
CAMLINFINE,2268219.0,4232586,42.1516,6,97.28,103.57,53.589436812388456,-6.073187216375391,1265718.0,2812105.0,29.2313,1.792041355183382,Camlin Fine Sciences Limited
GOPAL,350533.0,635386,16.0743,6,256.75,260.5,55.16851173932067,-1.4395393474088292,196148.0,408690.0,10.773400000000002,1.7870842425107571,Gopal Snacks Limited
MASFIN,1092543.0,1600451,46.4055,6,288.95,294.45,68.26469538898723,-1.8678892851078284,611604.0,931720.0,27.057999999999996,1.7863568583593306,MAS Financial Services Limited
QPOWER,1348350.0,2665154,382.171,6,1536.1,1458.2,50.59182321171684,5.342202715676852,757923.0,1571239.0,237.10370000000003,1.779006574546491,Quality Power Electrical Equipments Limited
PHOENIXLTD,1622269.0,2864935,537.1789000000001,6,1877.9,1890.0,56.62498451099239,-0.6402116402116355,913269.0,1530800.0,292.02119999999996,1.7763320555060995,The Phoenix Mills Limited
CIPLA,4664430.0,7616424,1038.424,6,1394.5,1373.3,61.24173234053146,1.543726789485185,2636202.0,4306466.0,594.2395,1.769375032717523,Cipla Limited
HGINFRA,212142.0,393034,18.1541,6,442.45,487.25,53.975483037090946,-9.194458696767576,119929.0,249116.0,12.0744,1.7688965971533157,H.G. Infra Engineering Limited
ASHOKLEY,46306811.0,92598190,1489.3057000000001,6,163.0,166.12,50.008332776267004,-1.8781603660004844,26257516.0,55345653.0,932.5090000000001,1.7635640401018893,Ashok Leyland Limited
KIMS,2065841.0,3383937,266.0252,6,809.85,772.8,61.04844741494892,4.7942546583851025,1174058.0,1769216.0,135.7409,1.7595732067751337,Krishna Institute of Medical Sciences Limited
JNKINDIA,351934.0,672662,27.888100000000005,6,413.9,428.85,52.319589927779475,-3.4860673895301493,200456.0,421243.0,18.4687,1.7556670790597437,JNK India Limited
