id,symbol,company,isin,sector,industry,series,listing_date,market_cap,revenue_growth,pat_growth,roce,ai_score
43,ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011,Unknown,Unknown,EQ,2013-07-17,Unknown,0.0,0.0,0.0,0.0
45,ABLBL,Aditya Birla Lifestyle Brands Limited,INE14LE01019,Unknown,Unknown,EQ,2025-06-23,Unknown,0.0,0.0,0.0,0.0
368,BIRLAMONEY,Aditya Birla Money Limited,INE865C01022,Unknown,Unknown,EQ,2008-02-07,Unknown,0.0,0.0,0.0,0.0
3108,ABIRLANUVO,ADITYA BIRLA NUVO LTD.,INE069A01017,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
48,ABREL,Aditya Birla Real Estate Limited,INE055A01016,Unknown,Unknown,EQ,2003-06-27,Unknown,0.0,0.0,0.0,0.0
49,ABSLAMC,Aditya Birla Sun Life AMC Limited,INE404A01024,Unknown,Unknown,EQ,2021-10-11,Unknown,0.0,0.0,0.0,0.0
7205,BSLFEFS2RN,Aditya Birla Sun Life Mutual Fund,INF209KA1DG2,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7204,BSLFEFS2RG,Aditya Birla Sun Life Mutual Fund,INF209KA1DF4,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7841,BSLRIFS4RD,Aditya Birla Sun Life Mutual Fund,INF209KB1HS7,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7842,BSLRIFS4DG,Aditya Birla Sun Life Mutual Fund,INF209KB1HT5,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7843,BSLRIFS4DD,Aditya Birla Sun Life Mutual Fund,INF209KB1HU3,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7175,BSLFEFS1DN,Aditya Birla Sun Life Mutual Fund,INF209KA1805,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7174,BSLFEFS1DG,Aditya Birla Sun Life Mutual Fund,INF209KA1797,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7173,BSLFEFS1RN,Aditya Birla Sun Life Mutual Fund,INF209KA1789,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
