date,equity,cash,open_positions,peak,drawdown,daily_ret
2026-06-24,1160306.39,30370.82,5,1183538.3,-1.96292000013858,-0.019629200001385794
2026-06-25,1148602.48,25614.97,5,1183538.3,-2.9518115298845897,-0.01008691333674372
2026-06-29,1138333.54,243361.23,4,1183538.3,-3.8194589900470484,-0.008940377701430635
2026-06-30,1137545.26,2554.35,5,1183538.3,-3.886062664807724,-0.0006924859650537796
2026-07-01,1126590.96,2554.35,5,1183538.3,-4.811617841180136,-0.009629770687102246
2026-07-02,1150059.06,2554.35,5,1183538.3,-2.8287415793810804,0.02083107430579778
2026-07-03,1156935.56,2554.35,5,1183538.3,-2.2477295411563776,0.00597925814349054
2026-07-06,1144184.17,18.66,5,1183538.3,-3.3251251776136117,-0.011021694241985402
2026-07-07,1130662.47,18.66,5,1183538.3,-4.467606160273823,-0.011817765316574858
2026-07-08,1105833.56,91.92,5,1183538.3,-6.565460534737236,-0.021959612756935254
2026-07-09,1117639.94,91.92,5,1183538.3,-5.567911068023747,0.010676452973628292
2026-07-10,1130481.28,91.92,5,1183538.3,-4.482915339537387,0.0114896931832984
2026-07-13,1135397.87,265.68,5,1183538.3,-4.067500815140493,0.0043491122648222635
2026-07-14,1127097.61,265.68,5,1183538.3,-4.768809763063852,-0.007310441757302222
2026-07-15,1121342.05,11870.35,5,1183538.3,-5.255110882343224,-0.005106531988831042
2026-07-16,1116298.7,17505.74,5,1183538.3,-5.681235664278891,-0.004497601779938631
2026-07-17,1111563.73,17505.74,5,1183538.3,-6.081304677677102,-0.004241669366810141
2026-07-20,1114815.27,17505.74,5,1183538.3,-5.806574235916153,0.00292519440158423
2026-07-21,1115891.54,17505.74,5,1183538.3,-5.71563759280118,0.000965424522755276
2026-07-22,1130015.19,250415.78,4,1183538.3,-4.522296405616962,0.012656830429953692
2026-07-23,1126840.74,25078.28,5,1183538.3,-4.790513327705581,-0.0028092100248670038
2026-07-24,1110320.44,441469.48,3,1183538.3,-6.186353242645388,-0.014660723040595847
2026-07-27,1119779.94,441469.48,3,1183538.3,-5.3870973165802996,0.008519612590397685
2026-07-28,1097920.13,216864.07,4,1183538.3,-7.234085284777024,-0.01952152313069666
2026-07-29,1099494.48,209790.52,4,1183538.3,-7.1010646634756185,0.0014339385507031732
2026-07-30,1095069.79,851.48,5,1183538.3,-7.474917372762674,-0.004024294874131584
2026-07-31,1092841.62,44.11,5,1183538.3,-7.663180819750398,-0.0020347287637255684
2026-08-03,1106718.81,14586.2,5,1183538.3,-6.490663631248772,0.012698262718068731
2026-08-04,1112840.81,14586.2,5,1183538.3,-5.973401114268967,0.005531667072686597
2026-08-05,1120629.73,33539.37,5,1183538.3,-5.315296513851733,0.006999132247854867
2026-08-06,1119845.43,33539.37,5,1183538.3,-5.381563908831688,-0.0006998743465427282
2026-08-07,1114764.13,33539.37,5,1183538.3,-5.810895177621219,-0.0045375012156811945
2026-08-10,1111277.09,26182.07,5,1183538.3,-6.10552358128165,-0.003128051850753266
2026-08-11,1130601.24,43481.33,5,1183538.3,-4.472779630367691,0.017389137393266862
2026-08-12,1139019.53,18113.17,5,1183538.3,-3.7614980436205583,0.007445852438654699
2026-08-13,1125045.8,6004.64,5,1183538.3,-4.9421721291148755,-0.012268209308052835
2026-08-14,1123519.46,0.6,5,1183538.3,-5.0711362699458125,-0.0013566914342509895
2026-08-17,1095819.71,206767.43,4,1183538.3,-7.411554826742833,-0.02465444612770662
2026-08-18,1087193.19,1409.68,5,1183538.3,-8.140430267444671,-0.007872207372506601
2026-08-19,1103986.39,1409.68,5,1183538.3,-6.72153237457547,0.015446380785368863
2026-08-20,1104712.37,1133.36,5,1183538.3,-6.66019257678437,0.0006575986865202665
2026-08-21,1105220.12,1133.36,5,1183538.3,-6.61729155702016,0.0004596219014003644
2026-08-24,1093197.49,407.88,5,1183538.3,-7.63311250679425,-0.010878041199611999
2026-08-25,1067004.69,243.45,5,1183538.3,-9.846205230536274,-0.023959806201165
2026-08-26,1085429.22,208225.06,4,1183538.3,-8.28947233900247,0.017267524850336002
2026-08-27,1095964.05,199662.74,4,1183538.3,-7.399359192685188,0.009705681223507234
2026-08-28,1089789.5,424551.19,3,1183538.3,-7.921061785664228,-0.005633898301682483
2026-08-31,1081634.89,20.72,5,1183538.3,-8.610064414476502,-0.00748273863897575
2026-09-01,1088580.69,113.73,5,1183538.3,-8.023197052431687,0.006421575398700474
2026-09-02,1081859.12,591.06,5,1183538.3,-8.591118682006314,-0.006174618070801774
2026-09-03,1095568.43,198621.63,4,1183538.3,-7.432786078828214,0.012671991894841028
2026-09-04,1091161.4,408715.24,3,1183538.3,-7.805146652203831,-0.00402259674459593
2026-09-07,1051321.93,209887.65,4,1183538.3,-11.171279374735917,-0.03651106976474794
2026-09-08,1054544.62,34.86,5,1183538.3,-10.898986538923154,0.0030653693298303697
2026-09-09,1022541.44,1.35,5,1183538.3,-13.603012255708165,-0.030347867120122607
2026-09-10,1039406.32,6893.05,5,1183538.3,-12.178057947089679,0.01649310173678642
2026-09-11,1037478.08,202753.8,4,1183538.3,-12.340979586380946,-0.0018551359202818585
2026-09-15,1015459.89,785.3,5,1183538.3,-14.20134946203262,-0.02122280019641465
2026-09-16,1024635.3,401790.88,3,1183538.3,-13.426096983933682,0.009035718781566171
2026-09-17,1044853.29,625156.38,2,1183538.3,-11.717830339753265,0.019731888995040414
2026-09-18,1057626.62,414590.0,3,1183538.3,-10.638580939881702,0.012224998592864633
